genre,description
thriller,brother sister past incestuous relationship current murderous relationship murders women reject murders women get close
horror,four high school students embark terrifying journey shadowview manor years horrifying ance gone wrong intern raven decides reconnect elementary school friends kota william jessica bringing new workplace shadowview manor bit paranormal investigating hearing forbidden secrets night janitor sends dark descending spiral terror
thriller,photographer sailing wife sister nympho maniacal model leaves three women alone get part boat mysterious man shows might escaped criminal police searching alarm three women much rapidly seduces three
action,dong woo released prison short time following failed attempt rob watch shop decides follow brother footsteps become singer popularity soon eclipses brother however leading unexpected jealousy family problems
thriller,marie insecure housewife whose husband joe affair two take holiday rural scotland sheer bad luck end hotel joe uses getaways marie told story young boy drowned nearby lake long ago finds becoming obsessed ghost
horror,hollywood long since vampires underworld creatures used industry fashion lore protecting human society detective peter king becomes involved personally professionally osvanna moore scream queen horror studio mogul year old vampire together try outpace serial killer targeted osvanna much vampire clan vampires hollywood
action,thai town six block area near hollywood los angeles home expatriated thais town gateway thais entering america dubbed thailand province movie follows thai family struggles survive los angeles fast paced consumerist culture still maintaining traditional values identity struggle thai ness high octane way life west coast america defined hip hop drugs street racing violence affects pat good boy tempted life crime sister
thriller,prominent couple returning home vehicle unexpectedly crashes ditch dark desolate road husband injured badly wife flags another car take help way back save husband wife finds sudden life threatening detour
thriller,customarily docile bears north woods inexplicably turn aggressive bearwalk ancient practice transmigration souls people animals inhabited great lakes region coming europeans small town attorney axel michelson comes realize native american wife janis descendant ottawa chiefs possessed evil possesses bears stop rampage save wife axel must learn old ways defeat ancient evil terms
horror,daughter emma technical writer allen pyke photographer julie found slashed throat wrists locked apartment couple decides move isolated cabin mountains kingspike julie depressed blames allen death emma new home julie sees spirit emma photo took nearby abandoned prison becomes obsessed shooting poltergeists allen advised move place local jim payne may allen finds former dwellers cabin committed suicide investigates death spot finds many people died around may decides move julie hotel want give emma
horror,set dark prison cell death row serial killer ponders meaning life decides kill experience rush dying notices every time tries kill bad person dies instead assumes dreaming also haunted strange creature like prison guard appears every time attempts suicide murderer tries come bizarre ways finally kill ultimately chilling confrontation murderer creature haunting
